"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
29JAN2014,389,3,29JAN2014,06JUN2017,08
03FEB2014,390,3,03FEB2014,24MAY2017,12
08FEB2014,391,3,08FEB2014,,.
08FEB2014,392,3,08FEB2014,,.
22FEB2014,393,3,22FEB2014,05JAN2017,14
21FEB2014,394,3,21FEB2014,09JUN2017,11
22FEB2014,395,3,22FEB2014,10NOV2016,12
19MAR2014,396,3,19MAR2014,06JUN2017,08
02APR2014,397,3,02APR2014,,.
12MAR2014,398,2,12MAR2014,,.
25MAR2014,399,2,25MAR2014,,.
25MAR2014,400,2,25MAR2014,,.
03APR2014,401,2,03APR2014,01MAY2017,14
06APR2014,402,2,06APR2014,,.
08APR2014,403,2,08APR2014,,.
18APR2014,404,2,18APR2014,,.
22APR2014,405,3,14OCT2016,01OCT2017,10
28APR2014,406,2,28APR2014,01MAY2017,14
03MAY2014,407,2,03MAY2014,,.
03MAY2014,408,2,03MAY2014,,.
06MAY2014,409,3,06MAY2014,31JAN2018,30
09MAY2014,410,3,09MAY2014,,.
11MAY2014,411,3,14OCT2016,,.
04JUN2014,412,3,04JUN2014,,.
04JUN2014,413,3,04JUN2014,,.
08JUN2014,414,3,08JUN2014,29MAY2017,21
18MAY2014,415,2,18MAY2014,,.
17JUN2014,416,3,20DEC2016,,.
14JUN2014,417,3,14JUN2014,17FEB2017,21
18JUN2014,418,3,18JUN2014,,.
03JUL2014,419,2,03JUL2014,01OCT2014,10
13JUN2014,420,2,13JUN2014,,.
01JUL2014,421,2,01JUL2014,22MAY2017,24
31JUL2014,422,2,31JUL2014,,.
11JUL2014,423,2,11JUL2014,,.
30JUL2014,424,2,30JUL2014,,.
05AUG2014,425,3,14OCT2016,,.
11AUG2014,426,3,11AUG2014,10JUL2017,10
07AUG2014,427,3,07AUG2014,,.
13AUG2014,428,3,13AUG2014,,.
16AUG2014,429,3,16AUG2014,,.
